Meter Type,Main Meter,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
11/07/2025 17:00:00,0,1230,0,414
11/07/2025 17:30:00,0,841,0,237
11/07/2025 18:00:00,0,1291,0,422
11/07/2025 18:30:00,0,1319,0,417
11/07/2025 19:00:00,0,1430,0,458
11/07/2025 19:30:00,0,1354,0,385
11/07/2025 20:00:00,0,1082,0,278
11/07/2025 20:30:00,0,1080,0,279
11/07/2025 21:00:00,0,1364,0,406
11/07/2025 21:30:00,0,1365,0,450
11/07/2025 22:00:00,0,1336,0,399
11/07/2025 22:30:00,0,1442,0,424
11/07/2025 23:00:00,0,1442,0,452
11/07/2025 23:30:00,0,1434,0,448
11/08/2025 00:00:00,0,1364,0,407
11/08/2025 00:30:00,0,1060,0,282
11/08/2025 01:00:00,0,908,0,211
11/08/2025 01:30:00,0,994,0,262
11/08/2025 02:00:00,0,1163,0,353
11/08/2025 02:30:00,0,1281,0,378
11/08/2025 03:00:00,0,1364,0,429
11/08/2025 03:30:00,0,1340,0,405
11/08/2025 04:00:00,0,1287,0,426
11/08/2025 04:30:00,0,1377,0,413
11/08/2025 05:00:00,0,1347,0,381
11/08/2025 05:30:00,0,1347,0,391
11/08/2025 06:00:00,0,1230,0,360
11/08/2025 06:30:00,0,838,0,175
11/08/2025 07:00:00,0,1164,0,324
11/08/2025 07:30:00,0,1143,0,363
11/08/2025 08:00:00,0,910,0,250
11/08/2025 08:30:00,0,926,0,302
11/08/2025 09:00:00,0,1115,0,451
11/08/2025 09:30:00,0,1041,0,429
11/08/2025 10:00:00,0,1002,0,433
11/08/2025 10:30:00,0,1005,0,461
11/08/2025 11:00:00,0,906,0,426
11/08/2025 11:30:00,0,892,0,407
11/08/2025 12:00:00,0,1061,0,417
11/08/2025 12:30:00,0,717,0,367
11/08/2025 13:00:00,0,788,0,365
11/08/2025 13:30:00,0,327,0,170
11/08/2025 14:00:00,4,114,0,132
11/08/2025 14:30:00,0,504,0,294
11/08/2025 15:00:00,0,727,0,286
11/08/2025 15:30:00,0,654,0,275
11/08/2025 16:00:00,0,673,0,292
11/08/2025 16:30:00,0,785,0,284
11/08/2025 17:00:00,0,751,0,277
11/08/2025 17:30:00,0,467,0,143
11/08/2025 18:00:00,0,785,0,241
11/08/2025 18:30:00,0,830,0,231
11/08/2025 19:00:00,0,920,0,265
11/08/2025 19:30:00,0,902,0,213
11/08/2025 20:00:00,0,690,0,138
11/08/2025 20:30:00,0,950,0,256
11/08/2025 21:00:00,0,1233,0,378
11/08/2025 21:30:00,0,1245,0,397
11/08/2025 22:00:00,0,1291,0,400
11/08/2025 22:30:00,0,1261,0,372
11/08/2025 23:00:00,0,1330,0,377
11/08/2025 23:30:00,0,1217,0,379
11/09/2025 00:00:00,0,1247,0,365
11/09/2025 00:30:00,0,925,0,209
11/09/2025 01:00:00,0,802,0,169
11/09/2025 01:30:00,0,865,0,211
11/09/2025 02:00:00,0,1083,0,301
11/09/2025 02:30:00,0,1000,0,260
11/09/2025 03:00:00,0,1008,0,258
11/09/2025 03:30:00,0,970,0,255
11/09/2025 04:00:00,0,990,0,257
11/09/2025 04:30:00,0,958,0,267
11/09/2025 05:00:00,0,969,0,276
11/09/2025 05:30:00,0,923,0,237
11/09/2025 06:00:00,0,838,0,195
11/09/2025 06:30:00,0,673,0,110
11/09/2025 07:00:00,0,827,0,213
11/09/2025 07:30:00,0,816,0,207
11/09/2025 08:00:00,0,667,0,135
11/09/2025 08:30:00,0,632,0,160
11/09/2025 09:00:00,0,667,0,204
11/09/2025 09:30:00,0,717,0,242
11/09/2025 10:00:00,0,663,0,220
11/09/2025 10:30:00,0,448,0,202
11/09/2025 11:00:00,0,542,0,257
11/09/2025 11:30:00,0,554,0,254
11/09/2025 12:00:00,0,488,0,262
11/09/2025 12:30:00,0,395,0,227
11/09/2025 13:00:00,0,501,0,246
11/09/2025 13:30:00,18,104,0,120
11/09/2025 14:00:00,1,98,0,95
11/09/2025 14:30:00,0,604,0,242
11/09/2025 15:00:00,0,444,0,257
11/09/2025 15:30:00,0,448,0,220
11/09/2025 16:00:00,0,619,0,239
11/09/2025 16:30:00,0,694,0,270
11/09/2025 17:00:00,0,731,0,240
11/09/2025 17:30:00,0,597,0,140
11/09/2025 18:00:00,0,883,0,260
11/09/2025 18:30:00,0,911,0,221
11/09/2025 19:00:00,0,894,0,215
11/09/2025 19:30:00,0,857,0,207
11/09/2025 20:00:00,0,659,0,143
11/09/2025 20:30:00,0,652,0,163
11/09/2025 21:00:00,0,881,0,213
11/09/2025 21:30:00,0,922,0,239
11/09/2025 22:00:00,0,979,0,239
11/09/2025 22:30:00,0,892,0,191
11/09/2025 23:00:00,0,872,0,214
11/09/2025 23:30:00,0,980,0,243
11/10/2025 00:00:00,0,800,0,186
11/10/2025 00:30:00,0,588,0,125
11/10/2025 01:00:00,0,571,0,130
11/10/2025 01:30:00,0,813,0,251
11/10/2025 02:00:00,0,944,0,266
11/10/2025 02:30:00,0,859,0,224
11/10/2025 03:00:00,0,779,0,186
11/10/2025 03:30:00,0,873,0,258
11/10/2025 04:00:00,0,880,0,229
11/10/2025 04:30:00,0,821,0,205
11/10/2025 05:00:00,0,853,0,227
11/10/2025 05:30:00,0,766,0,177
11/10/2025 06:00:00,0,851,0,213
11/10/2025 06:30:00,0,590,0,114
11/10/2025 07:00:00,0,794,0,213
11/10/2025 07:30:00,0,727,0,170
11/10/2025 08:00:00,0,666,0,181
11/10/2025 08:30:00,0,988,0,324
11/10/2025 09:00:00,0,1261,0,429
11/10/2025 09:30:00,0,1189,0,399
11/10/2025 10:00:00,0,1312,0,467
11/10/2025 10:30:00,0,1263,0,469
11/10/2025 11:00:00,0,1116,0,419
11/10/2025 11:30:00,0,1220,0,447
11/10/2025 12:00:00,0,1212,0,446
11/10/2025 12:30:00,0,1116,0,432
11/10/2025 13:00:00,0,954,0,352
11/10/2025 13:30:00,0,498,0,217
11/10/2025 14:00:00,0,527,0,260
11/10/2025 14:30:00,0,949,0,458
11/10/2025 15:00:00,0,916,0,442
11/10/2025 15:30:00,0,1112,0,495
11/10/2025 16:00:00,0,1380,0,487
11/10/2025 16:30:00,0,1439,0,479
11/10/2025 17:00:00,0,1399,0,455
11/10/2025 17:30:00,0,932,0,251
11/10/2025 18:00:00,0,1410,0,464
11/10/2025 18:30:00,0,1502,0,516
11/10/2025 19:00:00,0,1445,0,464
11/10/2025 19:30:00,0,1370,0,411
11/10/2025 20:00:00,0,1129,0,321
11/10/2025 20:30:00,0,1062,0,278
11/10/2025 21:00:00,0,1243,0,367
11/10/2025 21:30:00,0,1279,0,409
11/10/2025 22:00:00,0,1327,0,407
11/10/2025 22:30:00,0,1354,0,421
11/10/2025 23:00:00,0,1307,0,401
11/10/2025 23:30:00,0,1301,0,409
11/11/2025 00:00:00,0,1224,0,384
11/11/2025 00:30:00,0,971,0,234
11/11/2025 01:00:00,0,844,0,206
11/11/2025 01:30:00,0,1058,0,296
11/11/2025 02:00:00,0,1193,0,358
11/11/2025 02:30:00,0,1359,0,405
11/11/2025 03:00:00,0,1335,0,392
11/11/2025 03:30:00,0,1311,0,395
11/11/2025 04:00:00,0,1300,0,387
11/11/2025 04:30:00,0,1240,0,360
11/11/2025 05:00:00,0,1257,0,363
11/11/2025 05:30:00,0,1166,0,330
11/11/2025 06:00:00,0,1203,0,360
11/11/2025 06:30:00,0,785,0,175
11/11/2025 07:00:00,0,1047,0,313
11/11/2025 07:30:00,0,1005,0,278
11/11/2025 08:00:00,0,811,0,259
11/11/2025 08:30:00,0,894,0,294
11/11/2025 09:00:00,0,1209,0,406
11/11/2025 09:30:00,0,1229,0,394
11/11/2025 10:00:00,0,1145,0,435
11/11/2025 10:30:00,0,1208,0,481
11/11/2025 11:00:00,0,1208,0,459
11/11/2025 11:30:00,0,1036,0,466
11/11/2025 12:00:00,0,926,0,413
11/11/2025 12:30:00,0,812,0,385
11/11/2025 13:00:00,0,893,0,341
11/11/2025 13:30:00,0,368,0,199
11/11/2025 14:00:00,0,489,0,234
11/11/2025 14:30:00,0,1219,0,455
11/11/2025 15:00:00,0,1270,0,476
11/11/2025 15:30:00,0,1314,0,442
